Full Address,id,lat,lng,adl
KEEP IT FRESH LLP,101,28.3726984,76.9215683,6
VARDHMAAN CREATION,102,28.393255,77.3020069,5
SOFY HEALTHCARE PRIVATE LIMITED,103,28.4201835,77.0402822,12
GUNMETAL STITCHES PRIVATE LIMITED,104,28.48971,77.062282,3
M H K TRADER,105,28.4253313,77.3311637,5
Indian Hardware Industries Limited,106,28.3778416,77.2977645,1
BIBA APPARELS PRIVATE LIMITED,107,28.3036195,76.8246905,4
VK GLOBAL PUBLICATIONS PRIVATE LIMITED,108,28.4414054,77.3115318,6
NEERAJ,109,28.3965636,77.2686276,5
Sharma & Sons Enterprises,110,28.4866459,77.2918741,6
SHOBHA DESIGNS PRIVATE LIMITED,111,28.4422435,76.9915409,3
Roseus Private Limited,112,28.4298389,76.9924999,2
UDGAM FAB,113,28.4797095,77.3323399,2
ABITI BELLA ENTERPRISES,114,28.4333106,77.1054854,3
Doovers Fashion,115,28.4410911,77.007838,3
Grover Enterprises,116,28.3453031,77.3014565,5
RASHI FASHION,117,28.4758643,77.0835263,3
PACIFIC COMPUTECH PVT LTD,118,28.4419181,77.0784176,3
Q ONE,119,28.431345,76.9906051,5
JMD ENTERPRISES,120,28.4209234,77.0905313,6
COLOR BAR COSMETICS PRIVATE LIMITED,121,28.3242889,77.308826,2
TOUR BANAO TRAVEL MANAGEMENT,122,28.443289,77.007859,1
APPLIANCE KRAFT,123,28.3699413,77.3197013,3
BRUNO SALES PVT LTD,124,28.501485,77.085793,4
NIGHANTU AYU PHARMACEUTICALS,125,28.3899664,77.2979782,1
PARI-CHITRALEKHA,126,28.451503,77.3127659,1
BIOWORLD MERCHANDISING (IND) PVT LTD,127,28.3657499,76.9123966,1
PH91 PRIVATE LIMITED,128,28.3752154,76.9120529,4
Aditya International,129,28.4647412,77.0088453,6
ZEN IMPEX,130,28.4948264,77.2913975,4
THAKRAL CLOTHING PRIVATE LIMITED,131,28.4341755,77.0027056,2
STILVOLL,132,28.4947644,77.098534,3
PRICELESS,133,28.4805383,77.3255663,2
SWAYAM,134,28.4480821,77.0532271,4
