Full Address,id,lat,lng,adl
ASIAN RETAIL VENTURES,1,28.685147,77.0920669,1922
CAMPUS ACTIVEWEAR PRIVATE LIMITED,2,28.6835189,77.0170964,1251
SBG Retails,3,28.6453879,77.286847,768
PKKART.COM,4,28.7494317,77.1125599,732
DSM INDIA,5,28.7081035,77.0851471,703
Ganpati FSN Trading,6,28.6833529,77.2617344,701
RAMA KRISHNA TRADERS,7,28.6784295,77.0523042,665
TANVI ENTERPRISES,8,28.7443116,77.2005338,661
Lyvi Wardrobe Private Limited,9,28.5028226,77.2013319,647
KHANEJA TRADERS,10,28.735011,77.1636148,627
D.N. ENTERPRISES,11,28.7528356,77.1379777,598
VANI ENTERPRISES,12,28.7077712,77.2867217,575
MR ONLINE STORE,13,28.5290592,77.26386861,524
JJ ENTERPRISES,14,28.714166,77.3216576,523
Vinay,15,28.6573889,77.2121415,501
M.S.LED LIGHT TRADERS,16,28.6799366,77.3412154,485
ATZ RETAIL,17,28.7128255,77.0773484,479
VANESA CARE PVT LTD,18,28.7538512,77.15608245,468
S.S RETAIL,19,28.6973313,77.0970334,456
SUN SHOPPING,20,28.5086103,77.2278629,448
ROYAAL TRADERS,21,28.519784,77.178561,446
AKSA ENTERPRISES,22,28.6873832,77.2624359,434
SHUBH UPAHAAR,23,28.7827904,77.0533873,433
R S TRADERS,24,28.655271,77.28947,427
parishi trading company,25,28.7000408,77.1595535,397
Callmate India pvt Ltd,26,28.5490668,77.1312743,373
KALKAJI TRADING,27,28.6636981,77.2912573,371
DO BHAI BAGS AND LUGGAGE,28,28.6251698,77.1237827,356
LOIS CARON PRIVATE LIMITED,29,28.642291,77.296848,354
GLOBAL IMPEX,30,28.6708205,77.1672845,344
Meet Sales,31,28.54959983,77.28947068,340
SHOP IN ALL,32,28.6917233,77.2607807,333
ADITYA TIME,33,28.708906,77.1694437,313
WHOLESOME DEAL,34,28.5132572,77.2294595,311
VIKAS TRADERS,35,28.6457718,77.2869988,281
OnPoint Enterprises,36,28.6269222,77.2883576,280
GOYAL ENTERPRISES,37,28.6997737,77.1154589,274
DSM INDIA,38,28.7081035,77.0851471,274
OM ENTERPRISES,39,28.49098,77.307843,269
CUTECODE STREET STYLE STORE LLP,40,28.8418463,77.0902177,253
IMAGINE DESIGN STUDIOS,41,28.6399036,77.2877633,231
Shri Banke Bihari Enterprises,42,28.6664205,77.1020795,228
E-TECH ENTERPRISES,43,28.6865002,77.1293165,227
EXPODE INNOVATIONS PRIVATE LIMITED,44,28.6848546,77.137371,224
NEELAM ENTERPRISES,45,28.6533102,77.2922264,216
AR TRADERS,46,28.6456045,77.2127784,213
iSMART TECHNOLOGY,47,28.6762007,77.3007964,210
DSM INDIA,48,28.7081035,77.0851471,204
KATSO DESIGNS,49,28.6304732,77.1269438,195
Portronics Digital Pvt. Ltd.,50,28.70316267,77.17055434,194
SS STYLE,51,28.7485593,77.1141023,192
ROHIT,52,28.6913961,77.2554351,189
mansiya creations,53,28.7011236,77.098354,186
Mudita Enterprises,54,28.7001862,77.2734617,185
GUNJAN ENTERPRISES,55,28.671104,77.1231885,183
OLIVE OPS,56,28.697941,77.1465055,181
R B S IMPEX,57,28.53859808,77.11636951,178
KASHISH DRESSES,58,28.6282267,77.2813183,178
LOOMANTHA ENTERPRISES PRIVATE LIMITED,59,28.6153075,77.0473215,174
SHREE OM ENTERPRISES,60,28.67442584,77.16222219,174
KESHAV AGENCIES,61,28.6723606,77.1555729,166
Superstar Enterprises,62,28.8354391,77.1841891,162
MSR TRADERS,63,28.7126367,77.1805084,157
GALAXY INDIA,64,28.6555053,77.2190116,154
SelectionWorld,65,28.691883,77.140291,151
KHUSHI ENTERPRISES,66,28.72138526,77.28099844,147
DREAM HOME PLASTO WARE IND,67,28.786001,77.0411825,144
HALLELU GLOBAL DISTRIBUTION PRIVATE LIMITED,68,28.651782,77.093166,143
PUJVI FASHIONS,69,28.613658,77.0313495,143
GLOBAL FASHION INDUSTRIES,70,28.6288071,77.1319777,142
AMIT KUMAR OJHA,71,28.7328391,77.0816288,138
KRISHNA ENTERPRISES,72,28.6808733,77.0472113,137
BNB ENTERPRISES,73,28.6011719,76.9894232,137
DEL IMPEX PRIVATE LIMITED,74,28.6488967,77.2426213,136
VIHAAN ENTERPRISES,75,28.62848404,77.03281643,136
H N TRADERS,76,28.6479104,77.2380006,135
ELEMENT CART,77,28.7088844,77.0131347,135
Asha traders,78,28.6289835,77.2899697,134
APNAV ENTERPRISES,79,28.652392,77.212367,134
ONS GLOBAL,80,28.719939,77.0612933,133
FAIZAN ENTERPRISES,81,28.69139169,77.26365004,129
awesome digital pvt ltd,82,28.5490668,77.1312743,126
ATS Connect,83,28.4756584,76.8072233,126
